Event,Desc
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_BL.TGR2,Stall on No AD Transgress Credits For Transgress 2
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_BL.TGR3,Stall on No AD Transgress Credits For Transgress 3
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_BL.TGR4,Stall on No AD Transgress Credits For Transgress 4
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_BL.TGR5,Stall on No AD Transgress Credits For Transgress 5
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_BL.TGR6,Stall on No AD Transgress Credits For Transgress 6
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_BL.TGR7,Stall on No AD Transgress Credits For Transgress 7
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_BL_EXT.ANY_OF_TGR0_THRU_TGR7,Stall on No AD Transgress Credits For Transgress 0-7
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_BL_EXT.TGR8,Stall on No AD Transgress Credits For Transgress 8
UNC_H_CACHE_LINES_VICTIMIZED.E_STATE,Cache Lookups. Counts the number of times the LLC was accessed. Writeback transactions from L2 to the LLC  This includes all write transactions -- both Cachable and UC.
UNC_H_CACHE_LINES_VICTIMIZED.F_STATE,Cache Lookups. Counts the number of times the LLC was accessed. Filters for any transaction originating from the IPQ or IRQ.  This does not include lookups originating from the ISMQ.
UNC_H_CACHE_LINES_VICTIMIZED.LOCAL,Lines Victimized that Match NID
UNC_H_CACHE_LINES_VICTIMIZED.M_STATE,Cache Lookups. Counts the number of times the LLC was accessed. Read transactions
UNC_H_CACHE_LINES_VICTIMIZED.REMOTE,Lines Victimized that Does Not Match NID
UNC_H_CACHE_LINES_VICTIMIZED.S_STATE,Cache Lookups. Counts the number of times the LLC was accessed. Filters for only snoop requests coming from the remote socket(s) through the IPQ.
UNC_H_CLOCK,Uncore Clocks
UNC_H_EGRESS_HORZ_ADS_USED.AD,CMS Horizontal ADS Used
UNC_H_EGRESS_HORZ_ADS_USED.AK,CMS Horizontal ADS Used
UNC_H_EGRESS_HORZ_ADS_USED.BL,CMS Horizontal ADS Used
UNC_H_EGRESS_HORZ_BYPASS.AD,CMS Horizontal Egress Bypass. AD ring
UNC_H_EGRESS_HORZ_BYPASS.AK,CMS Horizontal Egress Bypass. AK ring
UNC_H_EGRESS_HORZ_BYPASS.BL,CMS Horizontal Egress Bypass. BL ring
UNC_H_EGRESS_HORZ_BYPASS.IV,CMS Horizontal Egress Bypass. IV ring
UNC_H_EGRESS_HORZ_CYCLES_FULL.AD,Cycles CMS Horizontal Egress Queue is Full AD
UNC_H_EGRESS_HORZ_CYCLES_FULL.AK,Cycles CMS Horizontal Egress Queue is Full AK
UNC_H_EGRESS_HORZ_CYCLES_FULL.BL,Cycles CMS Horizontal Egress Queue is Full BL
UNC_H_EGRESS_HORZ_CYCLES_FULL.IV,Cycles CMS Horizontal Egress Queue is Full IV
UNC_H_EGRESS_HORZ_CYCLES_NE.AD,Cycles CMS Horizontal Egress Queue is Not Empty AD
UNC_H_EGRESS_HORZ_CYCLES_NE.AK,Cycles CMS Horizontal Egress Queue is Not Empty AK
UNC_H_EGRESS_HORZ_CYCLES_NE.BL,Cycles CMS Horizontal Egress Queue is Not Empty BL
UNC_H_EGRESS_HORZ_CYCLES_NE.IV,Cycles CMS Horizontal Egress Queue is Not Empty IV
UNC_H_EGRESS_HORZ_INSERTS.AD,CMS Horizontal Egress Inserts AD
UNC_H_EGRESS_HORZ_INSERTS.AK,CMS Horizontal Egress Inserts AK
UNC_H_EGRESS_HORZ_INSERTS.BL,CMS Horizontal Egress Inserts BL
UNC_H_EGRESS_HORZ_INSERTS.IV,CMS Horizontal Egress Inserts IV
UNC_H_EGRESS_HORZ_NACK.AD,CMS Horizontal Egress NACKs
UNC_H_EGRESS_HORZ_NACK.AK,CMS Horizontal Egress NACKs
UNC_H_EGRESS_HORZ_NACK.BL,CMS Horizontal Egress NACKs
UNC_H_EGRESS_HORZ_NACK.IV,CMS Horizontal Egress NACKs
UNC_H_EGRESS_HORZ_OCCUPANCY.AD,CMS Horizontal Egress Occupancy AD
UNC_H_EGRESS_HORZ_OCCUPANCY.AK,CMS Horizontal Egress Occupancy AK
UNC_H_EGRESS_HORZ_OCCUPANCY.BL,CMS Horizontal Egress Occupancy BL
UNC_H_EGRESS_HORZ_OCCUPANCY.IV,CMS Horizontal Egress Occupancy IV
UNC_H_EGRESS_HORZ_STARVED.AD,CMS Horizontal Egress Injection Starvation
UNC_H_EGRESS_HORZ_STARVED.AK,CMS Horizontal Egress Injection Starvation
UNC_H_EGRESS_HORZ_STARVED.BL,CMS Horizontal Egress Injection Starvation
UNC_H_EGRESS_HORZ_STARVED.IV,CMS Horizontal Egress Injection Starvation
UNC_H_EGRESS_ORDERING.IV_SNP_GO_DN,Counts number of cycles IV was blocked in the TGR Egress due to SNP/GO Ordering requirements
UNC_H_EGRESS_ORDERING.IV_SNP_GO_UP,Counts number of cycles IV was blocked in the TGR Egress due to SNP/GO Ordering requirements
UNC_H_EGRESS_VERT_ADS_USED.AD_AG0,CMS Vertical ADS Used
UNC_H_EGRESS_VERT_ADS_USED.AD_AG1,CMS Vertical ADS Used
UNC_H_EGRESS_VERT_ADS_USED.AK_AG0,CMS Vertical ADS Used
UNC_H_EGRESS_VERT_ADS_USED.AK_AG1,CMS Vertical ADS Used
UNC_H_EGRESS_VERT_ADS_USED.BL_AG0,CMS Vertical ADS Used
UNC_H_EGRESS_VERT_ADS_USED.BL_AG1,CMS Vertical ADS Used
UNC_H_EGRESS_VERT_BYPASS.AD_AG0,CMS Vertical Egress Bypass. AD ring agent 0
UNC_H_EGRESS_VERT_BYPASS.AD_AG1,CMS Vertical Egress Bypass. AD ring agent 1
UNC_H_EGRESS_VERT_BYPASS.AK_AG0,CMS Vertical Egress Bypass. AK ring agent 0
UNC_H_EGRESS_VERT_BYPASS.AK_AG1,CMS Vertical Egress Bypass. AK ring agent 1
UNC_H_EGRESS_VERT_BYPASS.BL_AG0,CMS Vertical Egress Bypass. BL ring agent 0
UNC_H_EGRESS_VERT_BYPASS.BL_AG1,CMS Vertical Egress Bypass. BL ring agent 1
UNC_H_EGRESS_VERT_BYPASS.IV,CMS Vertical Egress Bypass. IV ring agent 0
UNC_H_EGRESS_VERT_CYCLES_FULL.AD_AG0,Cycles CMS Vertical Egress Queue Is Full AD - Agent 0
UNC_H_EGRESS_VERT_CYCLES_FULL.AD_AG1,Cycles CMS Vertical Egress Queue Is Full AD - Agent 1
UNC_H_EGRESS_VERT_CYCLES_FULL.AK_AG0,Cycles CMS Vertical Egress Queue Is Full AK - Agent 0
UNC_H_EGRESS_VERT_CYCLES_FULL.AK_AG1,Cycles CMS Vertical Egress Queue Is Full AK - Agent 1
UNC_H_EGRESS_VERT_CYCLES_FULL.BL_AG0,Cycles CMS Vertical Egress Queue Is Full BL - Agent 0
UNC_H_EGRESS_VERT_CYCLES_FULL.BL_AG1,Cycles CMS Vertical Egress Queue Is Full BL - Agent 1
UNC_H_EGRESS_VERT_CYCLES_FULL.IV_AG0,Cycles CMS Vertical Egress Queue Is Full IV - Agent 0
UNC_H_EGRESS_VERT_CYCLES_NE.AD_AG0,Cycles CMS Vertical Egress Queue Is Not Empty AD - Agent 0
UNC_H_EGRESS_VERT_CYCLES_NE.AD_AG1,Cycles CMS Vertical Egress Queue Is Not Empty AD - Agent 1
UNC_H_EGRESS_VERT_CYCLES_NE.AK_AG0,Cycles CMS Vertical Egress Queue Is Not Empty AK - Agent 0
UNC_H_EGRESS_VERT_CYCLES_NE.AK_AG1,Cycles CMS Vertical Egress Queue Is Not Empty AK - Agent 1
UNC_H_EGRESS_VERT_CYCLES_NE.BL_AG0,Cycles CMS Vertical Egress Queue Is Not Empty BL - Agent 0
UNC_H_EGRESS_VERT_CYCLES_NE.BL_AG1,Cycles CMS Vertical Egress Queue Is Not Empty BL - Agent 1
UNC_H_EGRESS_VERT_CYCLES_NE.IV_AG0,Cycles CMS Vertical Egress Queue Is Not Empty IV - Agent 0
UNC_H_EGRESS_VERT_INSERTS.AD_AG0,CMS Vert Egress Allocations AD - Agent 0
UNC_H_EGRESS_VERT_INSERTS.AD_AG1,CMS Vert Egress Allocations AD - Agent 1
UNC_H_EGRESS_VERT_INSERTS.AK_AG0,CMS Vert Egress Allocations AK - Agent 0
UNC_H_EGRESS_VERT_INSERTS.AK_AG1,CMS Vert Egress Allocations AK - Agent 1
UNC_H_EGRESS_VERT_INSERTS.BL_AG0,CMS Vert Egress Allocations BL - Agent 0
UNC_H_EGRESS_VERT_INSERTS.BL_AG1,CMS Vert Egress Allocations BL - Agent 1
UNC_H_EGRESS_VERT_INSERTS.IV_AG0,CMS Vert Egress Allocations IV - Agent 0
UNC_H_EGRESS_VERT_NACK.AD_AG0,CMS Vertical Egress NACKs
UNC_H_EGRESS_VERT_NACK.AD_AG1,CMS Vertical Egress NACKs
UNC_H_EGRESS_VERT_NACK.AK_AG0,CMS Vertical Egress NACKs Onto AK Ring
UNC_H_EGRESS_VERT_NACK.AK_AG1,CMS Vertical Egress NACKs
UNC_H_EGRESS_VERT_NACK.BL_AG0,CMS Vertical Egress NACKs Onto BL Ring
UNC_H_EGRESS_VERT_NACK.BL_AG1,CMS Vertical Egress NACKs
UNC_H_EGRESS_VERT_NACK.IV_AG0,CMS Vertical Egress NACKs
UNC_H_EGRESS_VERT_OCCUPANCY.AD_AG0,CMS Vert Egress Occupancy AD - Agent 0
UNC_H_EGRESS_VERT_OCCUPANCY.AD_AG1,CMS Vert Egress Occupancy AD - Agent 1
UNC_H_EGRESS_VERT_OCCUPANCY.AK_AG0,CMS Vert Egress Occupancy AK - Agent 0
UNC_H_EGRESS_VERT_OCCUPANCY.AK_AG1,CMS Vert Egress Occupancy AK - Agent 1
UNC_H_EGRESS_VERT_OCCUPANCY.BL_AG0,CMS Vert Egress Occupancy BL - Agent 0
UNC_H_EGRESS_VERT_OCCUPANCY.BL_AG1,CMS Vert Egress Occupancy BL - Agent 1
UNC_H_EGRESS_VERT_OCCUPANCY.IV_AG0,CMS Vert Egress Occupancy IV - Agent 0
UNC_H_EGRESS_VERT_STARVED.AD_AG0,CMS Vertical Egress Injection Starvation
UNC_H_EGRESS_VERT_STARVED.AD_AG1,CMS Vertical Egress Injection Starvation
UNC_H_EGRESS_VERT_STARVED.AK_AG0,CMS Vertical Egress Injection Starvation Onto AK Ring
UNC_H_EGRESS_VERT_STARVED.AK_AG1,CMS Vertical Egress Injection Starvation
UNC_H_EGRESS_VERT_STARVED.BL_AG0,CMS Vertical Egress Injection Starvation Onto BL Ring
UNC_H_EGRESS_VERT_STARVED.BL_AG1,CMS Vertical Egress Injection Starvation
UNC_H_EGRESS_VERT_STARVED.IV_AG0,CMS Vertical Egress Injection Starvation
UNC_H_FAST_ASSERTED.HORZ,Counts cycles source throttling is adderted - horizontal
UNC_H_FAST_ASSERTED.VERT,Counts cycles source throttling is adderted - vertical
UNC_H_HORZ_RING_AD_IN_USE.LEFT_EVEN,Counts the number of cycles that the Horizontal AD ring is being used at this ring stop - Left and Even
UNC_H_HORZ_RING_AD_IN_USE.LEFT_ODD,Counts the number of cycles that the Horizontal AD ring is being used at this ring stop - Left and Odd
UNC_H_HORZ_RING_AD_IN_USE.RIGHT_EVEN,Counts the number of cycles that the Horizontal AD ring is being used at this ring stop - Right and Even
UNC_H_HORZ_RING_AD_IN_USE.RIGHT_ODD,Counts the number of cycles that the Horizontal AD ring is being used at this ring stop - Right and Odd
UNC_H_HORZ_RING_AK_IN_USE.LEFT_EVEN,Counts the number of cycles that the Horizontal AK ring is being used at this ring stop - Left and Even
UNC_H_HORZ_RING_AK_IN_USE.LEFT_ODD,Counts the number of cycles that the Horizontal AK ring is being used at this ring stop - Left and Odd
UNC_H_HORZ_RING_AK_IN_USE.RIGHT_EVEN,Counts the number of cycles that the Horizontal AK ring is being used at this ring stop - Right and Even
UNC_H_HORZ_RING_AK_IN_USE.RIGHT_ODD,Counts the number of cycles that the Horizontal AK ring is being used at this ring stop - Right and Odd
UNC_H_HORZ_RING_BL_IN_USE.LEFT_EVEN,Counts the number of cycles that the Horizontal BL ring is being used at this ring stop - Left and Even
UNC_H_HORZ_RING_BL_IN_USE.LEFT_ODD,Counts the number of cycles that the Horizontal BL ring is being used at this ring stop - Left and Odd
UNC_H_HORZ_RING_BL_IN_USE.RIGHT_EVEN,Counts the number of cycles that the Horizontal BL ring is being used at this ring stop - Right and Even
UNC_H_HORZ_RING_BL_IN_USE.RIGHT_ODD,Counts the number of cycles that the Horizontal BL ring is being used at this ring stop - Right and Odd
UNC_H_HORZ_RING_IV_IN_USE.LEFT,Counts the number of cycles that the Horizontal IV ring is being used at this ring stop - Left
UNC_H_HORZ_RING_IV_IN_USE.RIGHT,Counts the number of cycles that the Horizontal IV ring is being used at this ring stop - Right
UNC_H_INGRESS_INSERTS.IPQ,Ingress Allocations. Counts number of allocations per cycle into the specified Ingress queue. - IPQ
UNC_H_INGRESS_INSERTS.IRQ,Ingress Allocations. Counts number of allocations per cycle into the specified Ingress queue. - IRQ
UNC_H_INGRESS_INSERTS.IRQ_REJ,Ingress Allocations. Counts number of allocations per cycle into the specified Ingress queue. - IRQ Rejected
UNC_H_INGRESS_INSERTS.PRQ,Ingress Allocations. Counts number of allocations per cycle into the specified Ingress queue. - PRQ
UNC_H_INGRESS_INSERTS.PRQ_REJ,Ingress Allocations. Counts number of allocations per cycle into the specified Ingress queue. - PRQ Rejected
UNC_H_INGRESS_INT_STARVED.IPQ,Cycles with the IPQ in Internal Starvation.
UNC_H_INGRESS_INT_STARVED.IRQ,Cycles with the IRQ in Internal Starvation.
UNC_H_INGRESS_INT_STARVED.ISMQ,Cycles with the ISMQ in Internal Starvation.
UNC_H_INGRESS_INT_STARVED.PRQ,Ingress internal starvation cycles. Counts cycles in internal starvation. This occurs when one or more of the entries in the ingress queue are being starved out by other entries in the queue.
UNC_H_INGRESS_OCCUPANCY.IPQ,Ingress Occupancy. Counts number of entries in the specified Ingress queue in each cycle. - IPQ
UNC_H_INGRESS_OCCUPANCY.IRQ,Ingress Occupancy. Counts number of entries in the specified Ingress queue in each cycle. - IRQ
UNC_H_INGRESS_OCCUPANCY.IRQ_REJ,Ingress Occupancy. Counts number of entries in the specified Ingress queue in each cycle. - IRQ Rejected
UNC_H_INGRESS_OCCUPANCY.PRQ,Ingress Occupancy. Counts number of entries in the specified Ingress queue in each cycle. - PRQ
UNC_H_INGRESS_OCCUPANCY.PRQ_REJ,Ingress Occupancy. Counts number of entries in the specified Ingress queue in each cycle. - PRQ Rejected
UNC_H_INGRESS_RETRY_IPQ0_REJECT.AD_REQ_VN0,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IPQ0_REJECT.AD_RSP_VN0,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IPQ0_REJECT.AK_NON_UPI,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IPQ0_REJECT.BL_NCB_VN0,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IPQ0_REJECT.BL_NCS_VN0,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IPQ0_REJECT.BL_RSP_VN0,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IPQ0_REJECT.BL_WB_VN0,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IPQ0_REJECT.IV_NON_UPI,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IPQ1_REJECT.ALLOW_SNP,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IPQ1_REJECT.ANY_REJECT_IPQ0,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IPQ1_REJECT.PA_MATCH,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IPQ1_REJECT.SF_VICTIM,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IPQ1_REJECT.SF_WAY,Ingress Probe Queue Rejects
UNC_H_INGRESS_RETRY_IRQ0_REJECT.AD_REQ_VN0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_IRQ0_REJECT.AD_RSP_VN0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_IRQ0_REJECT.AK_NON_UPI,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_IRQ0_REJECT.BL_NCB_VN0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_IRQ0_REJECT.BL_NCS_VN0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_IRQ0_REJECT.BL_RSP_VN0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_IRQ0_REJECT.BL_WB_VN0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_IRQ0_REJECT.IV_NON_UPI,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_IRQ1_REJECT.ALLOW_SNP,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_IRQ1_REJECT.ANY_REJECT_IRQ0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_IRQ1_REJECT.PA_MATCH,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_IRQ1_REJECT.SF_VICTIM,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_IRQ1_REJECT.SF_WAY,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_ISMQ0_REJECT.AD_REQ_VN0,ISMQ Rejects
UNC_H_INGRESS_RETRY_ISMQ0_REJECT.AD_RSP_VN0,ISMQ Rejects
UNC_H_INGRESS_RETRY_ISMQ0_REJECT.AK_NON_UPI,ISMQ Rejects
UNC_H_INGRESS_RETRY_ISMQ0_REJECT.BL_NCB_VN0,ISMQ Rejects
UNC_H_INGRESS_RETRY_ISMQ0_REJECT.BL_NCS_VN0,ISMQ Rejects
UNC_H_INGRESS_RETRY_ISMQ0_REJECT.BL_RSP_VN0,ISMQ Rejects
UNC_H_INGRESS_RETRY_ISMQ0_REJECT.BL_WB_VN0,ISMQ Rejects
UNC_H_INGRESS_RETRY_ISMQ0_REJECT.IV_NON_UPI,ISMQ Rejects
UNC_H_INGRESS_RETRY_ISMQ0_RETRY.AD_REQ_VN0,ISMQ Retries
UNC_H_INGRESS_RETRY_ISMQ0_RETRY.AD_RSP_VN0,ISMQ Retries
UNC_H_INGRESS_RETRY_ISMQ0_RETRY.AK_NON_UPI,ISMQ Retries
UNC_H_INGRESS_RETRY_ISMQ0_RETRY.BL_NCB_VN0,ISMQ Retries
UNC_H_INGRESS_RETRY_ISMQ0_RETRY.BL_NCS_VN0,ISMQ Retries
UNC_H_INGRESS_RETRY_ISMQ0_RETRY.BL_RSP_VN0,ISMQ Retries
UNC_H_INGRESS_RETRY_ISMQ0_RETRY.BL_WB_VN0,ISMQ Retries
UNC_H_INGRESS_RETRY_ISMQ0_RETRY.IV_NON_UPI,ISMQ Retries
UNC_H_INGRESS_RETRY_OTHER0_RETRY.AD_REQ_VN0,Other Queue Retries
UNC_H_INGRESS_RETRY_OTHER0_RETRY.AD_RSP_VN0,Other Queue Retries
UNC_H_INGRESS_RETRY_OTHER0_RETRY.AK_NON_UPI,Other Queue Retries
UNC_H_INGRESS_RETRY_OTHER0_RETRY.BL_NCB_VN0,Other Queue Retries
UNC_H_INGRESS_RETRY_OTHER0_RETRY.BL_NCS_VN0,Other Queue Retries
UNC_H_INGRESS_RETRY_OTHER0_RETRY.BL_RSP_VN0,Other Queue Retries
UNC_H_INGRESS_RETRY_OTHER0_RETRY.BL_WB_VN0,Other Queue Retries
UNC_H_INGRESS_RETRY_OTHER0_RETRY.IV_NON_UPI,Other Queue Retries
UNC_H_INGRESS_RETRY_OTHER1_RETRY.ALLOW_SNP,Other Queue Retries
UNC_H_INGRESS_RETRY_OTHER1_RETRY.ANY_REJECT_IRQ0,Other Queue Retries
UNC_H_INGRESS_RETRY_OTHER1_RETRY.PA_MATCH,Other Queue Retries
UNC_H_INGRESS_RETRY_OTHER1_RETRY.SF_VICTIM,Other Queue Retries
UNC_H_INGRESS_RETRY_OTHER1_RETRY.SF_WAY,Other Queue Retries
UNC_H_INGRESS_RETRY_PRQ0_REJECT.AD_REQ_VN0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_PRQ0_REJECT.AD_RSP_VN0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_PRQ0_REJECT.AK_NON_UPI,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_PRQ0_REJECT.BL_NCB_VN0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_PRQ0_REJECT.BL_NCS_VN0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_PRQ0_REJECT.BL_RSP_VN0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_PRQ0_REJECT.BL_WB_VN0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_PRQ0_REJECT.IV_NON_UPI,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_PRQ1_REJECT.ALLOW_SNP,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_PRQ1_REJECT.ANY_REJECT_IRQ0,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_PRQ1_REJECT.PA_MATCH,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_PRQ1_REJECT.SF_VICTIM,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_PRQ1_REJECT.SF_WAY,Ingress Request Queue Rejects
UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.AD_REQ_VN0,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.AD_RSP_VN0,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.AK_NON_UPI,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.BL_NCB_VN0,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.BL_NCS_VN0,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.BL_RSP_VN0,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.BL_WB_VN0,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_INGRESS_RETRY_REQ_Q0_RETRY.IV_NON_UPI,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_INGRESS_RETRY_REQ_Q1_RETRY.ALLOW_SNP,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_INGRESS_RETRY_REQ_Q1_RETRY.ANY_REJECT_IRQ0,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_INGRESS_RETRY_REQ_Q1_RETRY.PA_MATCH,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_INGRESS_RETRY_REQ_Q1_RETRY.SF_VICTIM,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_INGRESS_RETRY_REQ_Q1_RETRY.SF_WAY,"REQUESTQ"""" includes:  IRQ, PRQ, IPQ, RRQ, WBQ (everything except for ISMQ)"
UNC_H_MISC.CV0_PREF_MISS,Miscellaneous events in the Cbo. CV0 Prefetch Miss
UNC_H_MISC.CV0_PREF_VIC,Miscellaneous events in the Cbo. CV0 Prefetch Victim
UNC_H_MISC.RFO_HIT_S,Miscellaneous events in the Cbo. RFO HitS
UNC_H_MISC.RSPI_WAS_FSE,Miscellaneous events in the Cbo. Silent Snoop Eviction
UNC_H_MISC.WC_ALIASING,Miscellaneous events in the Cbo. Write Combining Aliasing
UNC_H_RING_BOUNCES_HORZ.AD,"Number of incoming messages from the Horizontal ring that were bounced, by ring type."
UNC_H_RING_BOUNCES_HORZ.AK,"Number of incoming messages from the Horizontal ring that were bounced, by ring type - Acknowledgements to core"
UNC_H_RING_BOUNCES_HORZ.BL,"Number of incoming messages from the Horizontal ring that were bounced, by ring type - Data Responses to core."
UNC_H_RING_BOUNCES_HORZ.IV,"Number of incoming messages from the Horizontal ring that were bounced, by ring type - Snoops of processor's cache."
UNC_H_RING_BOUNCES_VERT.AD,"Number of incoming messages from the Vertical ring that were bounced, by ring type."
UNC_H_RING_BOUNCES_VERT.AK,"Number of incoming messages from the Vertical ring that were bounced, by ring type - Acknowledgements to core"
UNC_H_RING_BOUNCES_VERT.BL,"Number of incoming messages from the Vertical ring that were bounced, by ring type - Data Responses to core."
UNC_H_RING_BOUNCES_VERT.IV,"Number of incoming messages from the Vertical ring that were bounced, by ring type - Snoops of processor's cache."
UNC_H_RING_SINK_STARVED_HORZ.AD,Horizontal ring sink starvation count - AD ring
UNC_H_RING_SINK_STARVED_HORZ.AK,Horizontal ring sink starvation count - AK ring
UNC_H_RING_SINK_STARVED_HORZ.BL,Horizontal ring sink starvation count - BL ring
UNC_H_RING_SINK_STARVED_HORZ.IV,Horizontal ring sink starvation count - IV ring
UNC_H_RING_SINK_STARVED_VERT.AD,Vertical ring sink starvation count - AD ring
UNC_H_RING_SINK_STARVED_VERT.AK,Vertical ring sink starvation count - AK ring
UNC_H_RING_SINK_STARVED_VERT.BL,Vertical ring sink starvation count - BL ring
UNC_H_RING_SINK_STARVED_VERT.IV,Vertical ring sink starvation count - IV ring
UNC_H_RING_SRC_THRTL,Counts cycles in throttle mode.
UNC_H_SF_LOOKUP.ANY,Cache Lookups. Counts the number of times the LLC was accessed. Filters for any transaction originating from the IPQ or IRQ.  This does not include lookups originating from the ISMQ.
UNC_H_SF_LOOKUP.DATA_READ,Cache Lookups. Counts the number of times the LLC was accessed. Read transactions
UNC_H_SF_LOOKUP.REMOTE_SNOOP,Cache Lookups. Counts the number of times the LLC was accessed. Filters for only snoop requests coming from the remote socket(s) through the IPQ.
UNC_H_SF_LOOKUP.WRITE,Cache Lookups. Counts the number of times the LLC was accessed. Writeback transactions from L2 to the LLC  This includes all write transactions -- both Cachable and UC.
UNC_H_TG_INGRESS_BUSY_STARVED.AD_BNC,"Transgress Injection Starvation. Counts cycles under injection starvation mode.  This starvation is triggered when the CMS Ingress cannot send a transaction onto the mesh for a long period of time.  In this case, because a message from the other queue has higher priority"
UNC_H_TG_INGRESS_BUSY_STARVED.AD_CRD,"Transgress Injection Starvation. Counts cycles under injection starvation mode.  This starvation is triggered when the CMS Ingress cannot send a transaction onto the mesh for a long period of time.  In this case, because a message from the other queue has higher priority"
UNC_H_TG_INGRESS_BUSY_STARVED.BL_BNC,"Transgress Injection Starvation. Counts cycles under injection starvation mode.  This starvation is triggered when the CMS Ingress cannot send a transaction onto the mesh for a long period of time.  In this case, because a message from the other queue has higher priority"
UNC_H_TG_INGRESS_BUSY_STARVED.BL_CRD,"Transgress Injection Starvation. Counts cycles under injection starvation mode.  This starvation is triggered when the CMS Ingress cannot send a transaction onto the mesh for a long period of time.  In this case, because a message from the other queue has higher priority"
UNC_H_TG_INGRESS_BYPASS.AD_BNC,Transgress Ingress Bypass. Number of packets bypassing the CMS Ingress .
